"state","education","financial","health_nutrition","housing","resources","education_rank","financial_rank","health_nutrition_rank","housing_rank","resources_rank","total_spending","total_spending_rank","education_avg","financial_avg","health_nutrition_avg","housing_avg","resources_avg","access"
"Nevada",7142.35835,3480.35203,7036.02201,397.73166,838.632,45,33,45,34,8,18895.09605,47,7142.35835,3480.35203,7036.02201,397.73166,838.632,4
"New Hampshire",11143.17059,2933.64238,7826.32089,750.09869,511.78865,11,48,42,10,30,23165.0212,32,11143.17059,2933.64238,7826.32089,750.09869,511.78865,3
"New Jersey",13683.05199,4318.30496,9039.59262,618.39783,478.13472,6,16,34,18,34,28137.48212,15,13683.05199,4318.30496,9039.59262,618.39783,478.13472,5
"New Mexico",9761.39077,3604.4944,14128.52368,270.38913,587.50657,24,29,4,45,19,28352.30455,14,9761.39077,3604.4944,14128.52368,270.38913,587.50657,3
"New York",15252.4292,5549.61943,17512.48132,961.367,665.08909,3,5,2,9,15,39940.98604,2,15252.4292,5549.61943,17512.48132,961.367,665.08909,5
"North Carolina",8115.22998,3208.36441,10700.56145,548.10175,424.28752,36,42,24,23,42,22996.54511,33,8115.22998,3208.36441,10700.56145,548.10175,424.28752,2
"North Dakota",11364.31359,8184.50949,6101.18442,493.15143,1066.2606,10,2,48,25,2,27209.41953,18,11364.31359,8184.50949,6101.18442,493.15143,1066.2606,2
"Ohio",8906.02922,4187.67253,11536.39629,737.00629,527.97626,29,19,17,11,27,25895.08059,21,8906.02922,4187.67253,11536.39629,737.00629,527.97626,2
"Oklahoma",7011.12129,3596.19988,7879.82617,377.3201,442.20189,47,30,41,37,40,19306.66933,45,7011.12129,3596.19988,7879.82617,377.3201,442.20189,1
"Oregon",9937.90079,5382.60971,12262.75919,643.69434,826.26903,21,6,13,16,9,29053.23306,10,9937.90079,5382.60971,12262.75919,643.69434,826.26903,5
"Pennsylvania",11032.32794,4959.1673,11780.05087,605.36627,339.05397,12,9,16,19,48,28715.96635,12,11032.32794,4959.1673,11780.05087,605.36627,339.05397,2
"Rhode Island",12454.45392,4414.92367,11015.48313,1204.98352,562.19542,8,15,21,4,21,29652.03966,8,12454.45392,4414.92367,11015.48313,1204.98352,562.19542,4
"South Carolina",8434.9228,3230.61295,12668.20578,377.44119,530.14606,35,41,9,35,26,25241.32878,24,8434.9228,3230.61295,12668.20578,377.44119,530.14606,2
"South Dakota",7443.78243,3255.1169,4806.10431,437.13596,679.17192,44,40,51,30,12,16621.31152,49,7443.78243,3255.1169,4806.10431,437.13596,679.17192,1
"Tennessee",6818.4231,3472.58598,9330.77655,460.03088,379.66241,48,35,32,28,45,20461.47892,43,6818.4231,3472.58598,9330.77655,460.03088,379.66241,1
"Texas",8087.69732,3031.10991,7479.17499,228.47623,303.22935,38,46,43,47,51,19129.6878,46,8087.69732,3031.10991,7479.17499,228.47623,303.22935,1
"Utah",6816.33027,2627.91898,5446.17328,320.74963,491.43081,49,51,50,42,32,15702.60297,51,6816.33027,2627.91898,5446.17328,320.74963,491.43081,2
"Vermont",14850.62979,5773.40637,13988.77401,1138.73633,541.79161,4,4,5,5,25,36293.33811,3,14850.62979,5773.40637,13988.77401,1138.73633,541.79161,5
"Virginia",8959.14999,3543.04047,8476.67614,450.93445,586.14723,28,32,39,29,20,22015.94828,35,8959.14999,3543.04047,8476.67614,450.93445,586.14723,3
"Washington",9909.39542,5098.13969,10434.38418,684.47736,732.88306,22,7,26,12,11,26859.27971,19,9909.39542,5098.13969,10434.38418,684.47736,732.88306,5
"West Virginia",10085.70953,4994.39681,11846.56668,326.74384,547.73108,17,8,15,41,23,27801.14794,16,10085.70953,4994.39681,11846.56668,326.74384,547.73108,1
"Wisconsin",10029.20239,4188.23126,9489.65592,181.74315,594.54019,18,18,31,50,18,24483.37291,26,10029.20239,4188.23126,9489.65592,181.74315,594.54019,2
"Wyoming",15969.25861,4952.59615,14298.16015,92.92397,913.9743,2,10,3,51,5,36226.91318,4,15969.25861,4952.59615,14298.16015,92.92397,913.9743,2
