State,PK12ed_realperch,highered_realperch,edservs_realperch,pell_realperch,headstartpriv_realperch,othercashserv_realperch,SNAP_realperch,socsec_realperch,fedSSI_realperch,fedEITC_realperch,CTC_realperch,addCC_realperch,stateEITC_realperch,Medicaid_CHIP_realperch,pubheath_realperch,other_health_realperch,HCD_realperch,lib_realperch,parkrec_realperch,wcomp_realperch,TANFbasic_realperch
North Dakota,7546.12,3416.99,182.46,185.74,33.00,4578.54,188.33,200.25,38.09,511.10,446.18,207.97,0.00,1210.91,1652.59,3049.36,493.15,82.41,983.85,1069.07,23.32
Ohio,7329.43,989.16,188.79,297.42,101.22,1524.95,364.71,265.95,128.58,828.71,377.16,284.93,33.28,1519.68,1570.05,8081.96,737.01,139.46,388.52,296.38,92.75
Oklahoma,4895.70,1514.20,222.94,291.41,86.86,982.37,401.36,302.72,124.76,860.99,351.72,336.36,38.74,1827.65,1059.90,4590.92,377.32,122.90,319.30,184.41,32.13
Oregon,6843.22,2502.25,214.34,309.95,68.14,2697.66,369.14,238.80,87.97,647.63,367.53,274.47,46.63,1965.30,1550.76,8377.56,643.69,229.70,596.57,364.66,110.25
Pennsylvania,9129.47,1271.05,269.75,292.97,69.09,2119.81,373.40,293.14,179.00,745.18,362.13,256.77,0.00,2571.67,1842.56,6992.42,605.37,74.50,264.56,99.47,80.66
Rhode Island,10197.31,1120.87,668.63,344.18,123.46,1597.73,430.92,296.33,143.85,846.67,354.20,270.94,99.06,3394.53,865.94,6324.09,1204.98,174.04,388.16,5.61,119.53
South Carolina,6383.63,1284.35,322.07,369.42,75.46,713.71,488.30,337.26,127.01,1084.91,337.84,373.53,0.00,1773.79,1126.85,9279.27,377.44,126.26,403.89,70.46,35.89
South Dakota,5296.57,1453.45,404.26,220.01,69.49,1471.51,312.59,213.16,80.09,624.13,419.95,261.12,0.00,1312.94,966.83,2213.74,437.14,125.04,554.13,7.71,59.45
Tennessee,5232.17,1044.03,138.76,341.75,61.70,1070.63,448.34,336.67,110.99,1029.00,349.74,366.51,0.00,1886.62,587.98,6407.83,460.03,78.47,301.19,0.00,45.05
Texas,5629.72,2016.77,82.26,308.67,50.28,578.85,379.72,216.67,137.23,951.56,318.85,371.00,0.00,2602.42,667.31,3829.72,228.48,64.53,238.70,47.95,7.00
Utah,4073.49,2154.57,275.47,265.71,47.09,805.74,164.53,193.57,37.86,467.35,445.43,283.32,0.00,936.81,599.51,3745.32,320.75,98.03,393.40,185.40,22.24
Vermont,12033.19,1896.74,560.03,247.26,113.41,3205.19,328.30,307.88,83.76,672.37,407.42,226.68,193.64,6055.01,3099.78,4505.69,1138.74,164.13,377.66,0.00,120.46
Virginia,7275.21,1260.60,81.66,297.33,44.35,1488.94,275.59,256.44,86.92,724.43,345.72,272.60,121.70,1361.60,1139.07,5700.41,450.93,142.46,443.69,2.24,39.04
Washington,7177.63,2010.46,419.72,264.39,37.18,1691.22,326.86,222.82,75.27,562.85,393.09,252.55,0.00,2012.36,1356.72,6738.44,684.48,239.72,493.16,1221.74,92.59
West Virginia,7254.25,1738.29,624.30,344.60,124.28,1630.24,458.57,435.67,153.86,915.16,365.93,295.33,0.00,1990.73,723.72,8673.54,326.74,131.59,416.14,483.07,67.15
Wisconsin,7109.84,2395.83,197.18,262.54,63.81,2021.54,293.16,244.22,124.82,624.36,412.42,244.94,71.77,1169.46,1072.08,6954.95,181.74,203.50,391.04,1.49,61.67
Wyoming,10589.43,4038.71,1051.92,210.78,78.43,1353.72,168.82,266.37,44.30,557.60,447.14,238.65,0.00,1096.73,2018.06,11014.56,92.92,163.23,750.74,1209.54,30.28
